id,title,budget,revenue,runtime,pop_actors,vote_average,vote_count,pop_directors,pop_producer
336843,Maze Runner: The Death Cure,62000000,288175335,143.0,125.74300000000001,7.1,6246,2.096,11.575
205775,In the Heart of the Sea,100000000,93920758,122.0,139.577,6.7,3332,6.917,15.217
467940,Run,600,1000,12.0,3.278,0.0,0,0.6,1.7999999999999998
74725,Kill List,500000,450275,95.0,45.296,6.2,558,2.725,2.0
467988,Camp Cool Kids,1000000,5199,104.0,40.487,5.7,28,1.62,2.314
468031,The Rose of the Rancho,16988,87028,50.0,9.681000000000001,0.0,0,1.109,0.0
74998,Seeking Justice,17000000,14089528,105.0,101.28500000000003,5.9,795,4.305,35.029
599282,Bar Wrestling 21: Breastlemania,8799,44566,86.0,12.922,9.0,2,0.0,0.0
599290,WWR Tournament For Tomorrow 2018,4432,55647,137.0,13.348999999999998,8.0,1,0.0,0.0
468224,Tolkien,20000000,8654322,112.0,60.86299999999999,7.0,1044,1.686,10.204
337154,The Meddler,3200000,4267218,100.0,85.41600000000001,5.9,279,3.605,0.6
337167,Fifty Shades Freed,55000000,368307760,105.0,85.52000000000001,6.7,6724,2.666,10.272
337170,American Made,50000000,133511855,115.0,132.612,6.8,3517,5.478,8.440000000000001
75031,The Playaz Court,10000,10000,97.0,6.831999999999999,0.0,0,0.6,0.0
75048,King of the Mountain,2000000,958000,90.0,41.407000000000004,5.5,10,2.145,0.0
75174,The Grey,25000000,77278331,117.0,113.30299999999998,6.6,3141,8.394,21.337
337339,The Fate of the Furious,250000000,1238764765,136.0,176.964,6.9,8741,2.523,60.96
206296,The Last Five Years,3500000,292092,94.0,41.749,5.9,298,4.327,5.907
337401,Mulan,200000000,66800000,115.0,120.957,7.0,5466,1.576,3.166
337404,Cruella,200000000,233274812,134.0,105.64500000000001,8.2,6523,6.782,11.51
861723,The girl of my dreams,70,55,11.0,3.0,0.0,0,0.6,0.6
599637,Existence,300,750,21.0,3.0,0.0,0,0.6,0.6
861835,Deity,150,300,3.0,0.6,0.0,0,0.6,0.0
206480,Trade Winds,738733,964404,93.0,26.025,6.7,3,1.97,1.97
206487,Predestination,5500000,4942449,97.0,54.737,7.4,5144,6.0440000000000005,7.244
206581,The Divine Woman,266817,931000,80.0,11.327,6.5,4,6.117,0.0
206647,Spectre,245000000,880674609,148.0,130.181,6.5,8893,4.462,7.083
75612,Oblivion,120000000,286168572,124.0,120.10900000000001,6.6,9069,3.231,10.268
75622,Rampart,12000000,972512,108.0,72.05,5.5,274,0.721,8.111
75638,Red Lights,14000000,13551174,119.0,159.281,6.1,953,1.396,2.133
75656,Now You See Me,75000000,351723989,116.0,90.40700000000001,7.4,13394,7.652,14.329999999999998
75674,Act of Valor,12000000,81272766,110.0,50.87999999999999,6.4,877,2.075,2.075
599975,Countdown,6500000,48021766,90.0,83.91,6.4,1467,1.011,5.115
862198,Pickle Richard,1000,10,10.0,0.6,0.0,0,0.0,0.0
75780,Jack Reacher,60000000,218340595,130.0,89.01899999999999,6.5,5608,4.049,38.561
75880,Belle of the Nineties,800000,1300000,73.0,14.852,6.1,6,0.6,0.6
75900,My Week With Marilyn,6400000,35057696,99.0,86.57299999999998,6.7,1056,4.154,7.582
731339,FANATICO,1500,500,18.0,3.0940000000000003,6.0,1,0.6,1.2
75986,Love Letters,550000,5269990,98.0,47.748,5.5,17,2.063,6.602
76025,Shame,6500000,3909002,102.0,73.031,7.0,2522,3.879,2.2
207143,The Singing Fool,388000,5916000,105.0,5.192,5.0,2,0.6,0.0
76111,Tina Turner - Live In Amsterdam: Wildest Dreams Tour,1000000,10000000,120.0,9.120999999999999,7.3,5,4.386,0.0
731473,I'm Still Here,4000,4000,128.0,3.8760000000000003,0.0,0,2.676,1.694
76163,The Expendables 2,100000000,314975955,103.0,145.00500000000002,6.3,5587,2.376,10.860999999999999
76170,The Wolverine,120000000,415440673,126.0,93.449,6.4,8053,6.924,24.106
76203,12 Years a Slave,20000000,187000000,134.0,128.411,7.9,9468,3.879,38.928
76264,Bopha!,12000000,212483,120.0,62.689,4.0,3,28.987,0.6
76285,Percy Jackson: Sea of Monsters,90000000,199850315,106.0,98.216,6.0,4363,1.522,5.882
76338,Thor: The Dark World,170000000,644571402,112.0,126.03300000000002,6.6,14474,5.723,33.373
76341,Mad Max: Fury Road,150000000,378858340,121.0,120.14699999999999,7.5,18981,9.646,13.048000000000002
207490,Luminarias,1000000,428535,100.0,0.0,1.0,1,0.6,2.56
76487,The Devil Inside,1000000,101758490,83.0,11.343,4.8,639,2.859,1.2
76489,The Three Stooges,30000000,54819301,92.0,62.957,5.7,429,5.119,11.956999999999999
76492,Hotel Transylvania,85000000,358375603,91.0,99.531,7.0,7181,10.974,2.0
76493,The Dictator,65000000,179379533,83.0,62.12,6.1,4692,1.4,18.763999999999996
76494,What to Expect When You're Expecting,40000000,79700000,110.0,93.249,6.0,1560,1.052,4.32
338641,The Park Bench,239,2,7.0,2.64,5.5,2,1.2,0.0
76516,Meet the Applegates,5000000,485772,90.0,38.556000000000004,5.5,24,3.167,0.6
76544,Man of Tai Chi,25000000,2054941,105.0,93.80899999999998,6.0,685,72.52,3.472
338762,Bloodshot,42000000,33542457,110.0,117.326,6.8,4184,0.792,58.397
338766,Hell or High Water,12000000,37589296,102.0,74.997,7.3,3619,1.805,18.771
207703,Kingsman: The Secret Service,81000000,414351546,129.0,141.277,7.6,13992,14.592,16.444
76649,Pompeii,100000000,117831631,105.0,90.196,5.5,2765,6.019,12.482000000000001
207743,Wanderlei Silva fighting for PRIDE,100,7000,59.0,0.0,0.0,0,0.0,0.0
207747,Legends: The Five Greatest Fighters from Pride FC (Fedor Emelianenko),100000,7000000,140.0,0.0,0.0,0,0.0,0.0
76726,Chronicle,15000000,145000000,84.0,67.586,6.8,4250,1.4,3.412
469971,Thanatophobia,5,300,10.0,3.0,10.0,1,0.6,0.6
76757,Jupiter Ascending,176000003,183987723,127.0,118.957,5.4,5775,43.039,49.544
338952,Fantastic Beasts: The Crimes of Grindelwald,200000000,653355901,134.0,97.561,6.9,8761,13.264,14.888000000000002
338964,Bad Santa 2,26000000,23229371,92.0,78.67699999999999,5.3,613,1.768,11.75
338967,Zombieland: Double Tap,42000000,122801777,99.0,98.743,7.0,4313,9.932,1.22
338970,Tomb Raider,94000000,274650803,118.0,80.40700000000001,6.4,6534,1.772,1.4
470044,The Hate U Give,23000000,34934009,133.0,70.842,8.3,1707,1.166,8.193
207932,Inferno,75000000,220021259,121.0,96.22900000000001,6.0,5389,6.917,8.022
76863,Ask Any Girl,1140000,3745000,98.0,40.242,6.0,8,1.084,0.6
339103,Gotti,10000000,4343227,110.0,48.648,5.3,482,3.135,10.013
339145,The Girl in the Book,8245,81379,86.0,52.06999999999999,5.9,127,0.6,1.2
77016,End of Watch,7000000,48126384,109.0,94.753,7.3,2544,4.043,6.308999999999999
208134,Jackass Presents: Bad Grandpa,15000000,151831537,92.0,51.911,6.1,1276,4.397,29.06
339259,The Man with the Iron Heart,32679734,4412639,120.0,87.168,6.6,597,1.779,0.0
470333,Hearts Beat Loud,2000000,2115765,97.0,66.57000000000001,7.1,200,1.568,1.7999999999999998
77174,ParaNorman,60000000,107139399,90.0,74.673,6.9,2022,1.44,3.0380000000000003
77198,Broadway Bill,668900,1400000,104.0,26.506999999999998,6.1,12,2.334,3.734
601507,RUN,1000,1200,10.0,1.7999999999999998,0.0,0,0.6,0.0
77221,Black Gold,40000000,5446000,130.0,75.147,6.5,208,2.603,0.84
601508,Ip Boy: The Legend Begins,20,10,19.0,1.7999999999999998,7.5,2,0.6,0.0
339380,On the Basis of Sex,20000000,38673750,120.0,73.118,7.4,800,3.567,1.2
339397,Café Society,30000000,43763247,97.0,97.67199999999998,6.5,2332,7.396,2.736
339403,Baby Driver,34000000,226945087,113.0,133.276,7.4,12861,10.725,3.738
339408,The Birth of a Nation,8500000,15861566,120.0,52.12700000000001,6.5,455,4.973,12.62
339419,Loving,9000000,8996802,123.0,82.02199999999999,6.7,779,1.4,18.156000000000002
601683,Ardin and Barray: A Found Footage Story,15,30,5.0,1.2,10.0,1,0.6,0.0
77469,Your Friends & Neighbors,5000000,4710749,100.0,83.057,6.0,61,2.107,12.431
470878,I Can Only Imagine,7000000,86026201,110.0,45.59,7.5,352,3.581,4.663
339846,Baywatch,69000000,177856751,116.0,164.71,6.1,6811,3.161,16.147000000000002
339877,Loving Vincent,5500000,42187665,95.0,72.703,8.1,2002,2.953,2.064
339927,Kevin Hart: What Now?,9900000,23600000,96.0,80.913,6.5,212,3.086,0.0
77805,Lovelace,10000000,1585582,92.0,105.649,6.0,537,1.28,4.634
339964,Valerian and the City of a Thousand Planets,177200000,225874228,136.0,94.574,6.6,6232,10.859,11.459
339984,Miracles from Heaven,16000000,73983359,119.0,62.016000000000005,7.4,942,1.4,7.194999999999999
339988,The Circle,18000000,20497844,110.0,127.014,5.5,3793,1.826,57.958
602145,Fake Friends Episode Two: Parasocial Hell,1000,2000,115.0,0.0,9.0,1,0.6,0.0
77866,Contraband,25000000,96262212,109.0,101.131,6.3,1691,3.132,44.943
